Index,Texte précédent,Mot,Texte suivant
156,améliorer le texte sans renoncer au retour à l’ équilibre financier du système en 2030 ni aux fondamentaux de la,réforme,", nous y serons ouverts » , a promis Olivier Dussopt . Mais les marges de manœuvre sont restreintes alors"
157,"hebdomadaire , soulevée par son allié du MoDem , pour générer plus de cotisations sociales . Et ainsi aménager la",réforme,"des retraites . Pour ne pas rogner sur le pouvoir d’ achat des salariés qui font des heures supplémentaires ,"
158,à l’ écoute » Sans laisser entrevoir la perspective d’ une nouvelle disposition qui viendrait satisfaire les opposants à la,réforme,", Élisabeth Borne est « convaincue que le travail parlementaire permettra d’ enrichir » le projet de l’ exécutif ."
159,exécutif . « Je n’ ai pas de doute que la majorité est unie pour porter la nécessité d’ une,réforme,"pour assurer l’ avenir » de l’ actuel système de retraite , a -t -elle poursuivi au moment où de"
160,"Désormais , il faut questionner la solidité de notre majorité . » Car l' hostilité à l' égard de la",réforme,"de la retraite n' est plus le seul apanage des adversaires du chef de l' État . Désormais , et"
161,"chef de l' État . Désormais , et avant même que le texte n' arrive dans l' Hémicycle , la",réforme,"d' Emmanuel Macron se heurte aux frondeurs de son propre camp . Or , et tandis que le président de"
162,", le député Richard Ramos a appelé jeudi , sur Sud Radio , à « ne pas faire » cette",réforme,"« contre les Français » et à « reprendre » le système à points , prévu dans le projet de"
163,". C' est d' autant plus vrai que les oppositions , galvanisées par l' ampleur de la mobilisation contre la",réforme,"des retraites , ne comptent pas en rester là . « Il n' y a aucune résignation , affirme la"
164,", Prisca Thévenot , riposte : « On ne doit pas avoir peur . Il faut continuer à expliquer cette",réforme,en ne se focalisant pas sur l' âge qui n' est pas la finalité mais la modalité de cette réforme
165,réforme en ne se focalisant pas sur l' âge qui n' est pas la finalité mais la modalité de cette,réforme,". » Sur BFMTV , Olivier Véran abondait , dimanche : « Il y aurait eu 700 000 ou 1,3"
166,". « L' enjeu , c' est donc de répondre aux inquiétudes , réelles et nombreuses , en enrichissant la",réforme,"avec l' apport de tous . » Sur l' emploi des seniors , un sujet que les plus réticents à"
167,"l' apport de tous . » Sur l' emploi des seniors , un sujet que les plus réticents à la",réforme,"( jusque dans les rangs de la majorité ) entendent négocier , Gabriel Attal répond : « On est très"
168,"le jeu . » Dans Le Journal du dimanche , le ministre du Travail , Olivier Dussopt , défend une",réforme,"qui rétablit « un maximum d' égalité » et assure que depuis le 10 janvier , le projet de loi"
169,ans de plus . Comment un tel tour de passe-passe est -il possible ? Tout simplement à cause de la,réforme,"Touraine , votée en 2014 sous le quinquennat Hollande , mais dont l’ impact avait été reporté à bien plus"
170,"politiques astucieusement laissées à ses successeurs . Les Français n’ en avaient pas toujours pris conscience , mais cette précédente",réforme,les oblige déjà à travailler plus longtemps pour toucher leur retraite à taux plein . Compte tenu de cet impact
171,". Compte tenu de cet impact Touraine , pour un salarié ayant commencé sa carrière à 22 ans , la",réforme,Macron ne rajoute que « trois mois » de travail s’ il est né en 1961 et seulement « neuf
172,"tous ceux nés à partir de 1973 , l’ âge de départ est même « identique à celui d’ avant",réforme,"» prévu par la réforme Touraine , est -il indiqué . Globalement , l’ effort à fournir est plus important"
173,"de 1973 , l’ âge de départ est même « identique à celui d’ avant réforme » prévu par la",réforme,"Touraine , est -il indiqué . Globalement , l’ effort à fournir est plus important chez les femmes , même"
174,Dans une,réforme,"de toute façon très difficile à faire accepter , il a ouvert la boîte de Pandore en prétendant , Emmanuel"
175,"les femmes et les hommes , selon l' espérance de vie , etc. Le seul argument audible eût été une",réforme,"nécessaire pour le pays et pour assurer le paiement des retraites à l' avenir . Loin de là , la"
176,"nécessaire pour le pays et pour assurer le paiement des retraites à l' avenir . Loin de là , la",réforme,"est perçue comme injuste et brutale . Même adoptée en fin de course , elle aura un coût politique pour"
177,"de la gauche et de la droite ainsi que sur le « en même temps » . Or , cette",réforme,"constitue ce qu' on appelle en sociologie un « acte lourd » , de ceux qui marquent les citoyens ."
178,"vers la droite . Au surplus , dans le conflit dur qui s' annonce , le pouvoir promoteur d' une",réforme,"impopulaire devient volens nolensle représentant du parti de l' ordre contre les blocages , les atteintes aux biens ou les"
179,"libère un espace politique pour la gauche ... Théoriquement , oui . Car la gauche , vent debout contre la",réforme,", est en grande difficulté . Elle montrerait son impuissance si elle échouait à l' empêcher . Au surplus ,"
180,"n' a ni organisation pour l' animer ni leader pour l' incarner . Les Républicains , en soutenant majoritairement la",réforme,", sont accusés d' être la béquille du pouvoir . Avaient -ils le choix ? Pas vraiment , pour une"
181,"les concessions faites et en obligeant le pouvoir à recourir au 49.3 , ajoutant le passage en force à une",réforme,impopulaire . Le Rassemblement national va -t -il tirer les marrons du feu de la période ? Le RN pratique
182,"Le RN pratique une stratégie habile fondée sur l' évitement , l' élargissement puis le ressentiment . En condamnant la",réforme,", il se range bien sûr du côté de l' électorat populaire ; en refusant de s' associer aux manifestations"
183,"vue de 2027 , Marine Le Pen cherche à s' appuyer sur un vote de ressentiment accru après une telle",réforme,et elle promettra bien sûr son annulation . Reste que l' expérience indique que si chaque réforme des retraites a
184,après une telle réforme et elle promettra bien sûr son annulation . Reste que l' expérience indique que si chaque,réforme,"des retraites a été sur le moment jugée insupportable , elle a fini par entrer dans les moeurs . Et"
185,"printemps 2003 , Jean-Pierre Raffarin , alors premier ministre de Jacques Chirac , développe tout un argumentaire pour défendre une",réforme,"des retraites portée par son ministre des Affaires sociales , un certain François Fillon . « On ne peut pas"
186,"ils vont voir arriver , ces gens que j' estime et qui manifestent ? Si on ne fait pas la",réforme,", ils vont voir leur retraite s' effondrer » , clame le chef de la majorité . Et de poursuivre"
187,"elle pourrait être reprise quasiment mot pour mot par l' équipe d' Élisabeth Borne , qui a présenté mi-janvier sa",réforme,"en Conseil des ministres . Et elle pourrait être également martelée par l' un de ses successeurs , dans quelques"
188,"quelques années . Car dans le débat parfois technique sur les retraites , tous les économistes en conviennent : cette",réforme,ne devrait pas être la dernière . « Je suis quasiment sûr qu' il y en aura une nouvelle dans
189,"qu' un « nouveau tour de vis s' imposera avant 2035 » . À cette date , si aucune autre",réforme,"n' intervient , le système se retrouvera à nouveau déficitaire , à raison de 7 à 8 milliards d' euros"
190,"d' euros , après un retour fugace à l' équilibre en 2030 : « Le gain financier net de la",réforme,"sera constant entre 2030 et 2035 , alors que le solde structurel baissera encore pour des raisons démographiques » ,"
191,"dans les années qui suivent 2030 » , relate François Ecalle , spécialiste des finances publiques . Mais une nouvelle",réforme,"devrait s' imposer dès les prochaines années , juge l' expert : « Les hypothèses du COR se sont toujours"
192,"annuités pour les salariés du privé et les indépendants . 1995 , Alain Juppé propose de généraliser aux fonctionnaires la",réforme,"de son prédécesseur à Matignon : un mouvement social de grande ampleur se déclenche , le pays est bloqué et"
193,sur le nombre d' années de cotisations . Un à deux millions de personnes descendent dans la rue contre la,réforme,", sans succès . 2007 , Nicolas Sarkozy poursuit cette stratégie et y inclut les régimes spéciaux des sociétés publiques"
194,"cet aggiornamento . Au regard de cette chronologie assez dense , il n' est pas absurde de penser que la",réforme,"dite Borne , si elle est adoptée d' ici à l' été , ne sera pas la dernière . L'"
195,"fixé une clause de revoyure en 2027 , à la fin du deuxième quinquennat d' Emmanuel Macron . Si la",réforme,"de 2023 est parfois présentée comme la Der des Ders , les ministres n' ont de cesse de répéter que"
196,"2023 est parfois présentée comme la Der des Ders , les ministres n' ont de cesse de répéter que leur",réforme,"garantit l' équilibre financier du système jusqu' en 2030 , s' appuyant sur le dernier rapport du Conseil d' orientation"
197,"son porte-parole , Olivier Véran , ose -t -il déclarer : « Ce que nous visons , c' est une",réforme,qui permette de ne plus se poser la question ( de l' équilibre financier ) dans 10 ans » .
198,petits pas qui conduit à revoir régulièrement le système Mais cette récurrence est fustigée par les détracteurs politiques de la,réforme,". « On est en incapacité , en 2023 , de répondre aux défis qui s' accumulent . Les prévisions"
199,"étant dans les mains du gouvernement , l' exécutif sait qu' il ne peut pas aller trop loin sur cette",réforme,". Au risque de brusquer les Français , comme lors de la crise des gilets jaunes . Au risque ,"
200,président du Conseil d' orientation des retraites ( COR ) . De quoi remettre en cause la nécessité d' une,réforme,", affirme -t -on dans les oppositions . À raison ? La « survie » financière du système des retraites"
201,députés a remis cette question sous le feu des projecteurs . Maintes fois brandi par l' exécutif pour justifier sa,réforme,", l' argument de l' équilibre financier du système aurait , entend -on dans les oppositions , été contredit par"
202,"les propos du patron de l' instance indépendante , qui fait autorité sur le sujet , pour affirmer que la",réforme,est « inutile » ou « injustifiée » du point de vue budgétaire . Les opposants s' appuient précisément sur
203,"de l' audition , qui a beaucoup circulé sur les réseaux sociaux , en pleine journée de mobilisation contre la",réforme,": « Les dépenses de retraites ne dérapent pas , elles sont relativement maîtrisées . Dans la plupart des hypothèses"
204,"cet extrait vidéo , Pierre-Louis Bras . Le président du COR remet -il vraiment en cause le bien-fondé d' une",réforme,"du système de retraite ? Tout d' abord , il convient de rappeler que ses propos ne sont pas un"
205,"COR dans son rapport . « Dans l' hypothèse privilégiée , qui sert de référence dans le cadre de la",réforme,"des retraites , le déficit perdure jusqu' en 2070 » , ajoute d' ailleurs Pierre-Louis Bras dans son audition ."
206,"faillite à court terme » , abonde Mathieu Plane , sans toutefois partager l' avis de ceux qui jugent une",réforme,"« inutile » . En revanche , l' économiste met en doute « l' urgence » affichée par le gouvernement"
207,"« il aurait fallu attendre que l' économie se soit stabilisée » . Le gouvernement cherche davantage , avec cette",réforme,", à « protéger les finances publiques et rassurer les marchés financiers » , d' autant que « la charge"
208,"en compte par le COR , lié aux fonctionnaires . Ainsi , à la question de la nécessité d' une",réforme,"telle que proposée par le gouvernement , il s' agit d' un choix politique qui s' avère défendable d' un"
209,s' annoncent déjà suivies par les salariés des remontées mécaniques . Le mouvement de grèves et de manifestations contre la,réforme,des retraites menace -t -il les stations de ski ? Si les mobilisations des 7 et 8 mars prochains s'
210,"plusieurs mesures sont concernées . La première concerne , sans surprise , l' âge de 64 ans instauré par la",réforme,des retraites du gouvernement . « Les saisonniers ont des métiers intenses et on ne peut pas demander à un
211,LA MOBILISATION contre la,réforme,des retraites relèvera -t -elle le défi de la longévité ? C' est la question que se posent les oppositions
212,va « plier » . « Une modification du texte » Cela n' implique pas forcément d' abandonner carrément la,réforme,- seuls 12 % pensent que le recul pourra aller jusque-là . Il s' agit davantage d' espérer une modification
213,approchent de l' âge de la retraite et voient celle-ci risquer d' être repousséede quelques mois à cause de la,réforme,. » 63 % des 50 - 64 ans estiment en effet qu' ils y perdront si ce texte entre
214,. À tel point que certains commencent désormais à l' envisager sérieusement . Et si la version définitive de la,réforme,"des retraites était finalement élaborée en commission mixte paritaire ( CMP ) , dans un cénacle fermé , à l'"
215,"de loi rectificatif de la Sécurité sociale ( PLFSSR ) . Car comme pour tous les textes financiers , cette",réforme,"est automatiquement soumise à l' article 47 - 1 de la Constitution , une disposition particulière qui oblige le Parlement"
216,"la presse . Selon elle , les élus de la Chambre basse auront largement le temps de discuter de la",réforme,"s' il n' y a pas de blocage parlementaire , puisque l' Assemblée devrait , selon elle , consacrer 73"
217,"13 séances ) . Mais l' opposition n' en démord pas , la méthode choisie par le gouvernement pour cette",réforme,les contraint . « Cela nous empêche de dérouler notre projet car le débat va durer trois jours en commission
218,il est soumis à la validation ou au rejet des députés . La stratégie pourrait s' avérer payante pour la,réforme,"des retraites , à une condition : que l' alliance avec Les Républicains - et plus particulièrement les sénateurs -"
219,Emmanuel Macron et Élisabeth Borne doivent mener une triple bataille pour faire passer la,réforme,"des retraites : devant l’ opinion publique , à l’ Assemblée nationale , et face à leurs troupes , inquiètes"
220,"à leurs troupes , inquiètes du succès de la mobilisation du 19 janvier dernier . « Elle est bien la",réforme,. »Élisabeth Borne n’ est pas mécontente du texte qu’ elle vient de présenter en conférence de presse ce mardi
221,"dans la rue , voire de multiplier les appels à la grève . Du classique en ce qui concerne une",réforme,"des retraites depuis des années en France . Au gouvernement on ne croit pas , à ce moment -là ,"
222,"apporté une nouvelle fois la preuve , certains commençant à se demander s’ il est bien opportun de mener cette",réforme,en ces temps difficiles pour les Français . Ils ont regardé la mobilisation dans leurs circonscriptions et ont eu peur
223,les députés de la majorité faisaient le même constat : les électeurs croisés ne leur ont pas parlé de la,réforme,"des retraites , alors même que certains avaient sûrement battu le pavé quelques jours auparavant . Là aussi les difficultés"
224,", il faut démontrer qu’ Emmanuel Macron est minoritaire et qu’ il n’ a pas de légitimité pour faire sa",réforme,. Bataille de la légitimité La bataille qui se joue est bien celle de la légitimité d’ un président à
225,"Manuel Bompard , le coordinateur de La France insoumise : « Emmanuel Macron n’ a aucune légitimité à faire cette",réforme,; il n’ a pas de mandat populaire pour le faire . » Emmanuel Macron n’ aurait été élu que
226,"1 200 euros et touchera tous les retraités , et pas seulement ceux qui partiront à la retraite après la",réforme,". Ce point est issu de l’ accord trouvé avec le président des LR , Éric Ciotti . Patatras !"
227,"discuter avec celui des députés LR , Olivier Marleix , ne garantit pas que tous les députés Républicains voteront la",réforme,". La tradition veut que chaque député ait une liberté de vote . Et aujourd’hui , les élus LR sont"
228,"que chaque député ait une liberté de vote . Et aujourd’hui , les élus LR sont fortement divisés sur la",réforme,"des retraites . Menés par Aurélien Pradié , une dizaine d’ entre eux ont fait savoir qu’ ils pourraient ne"
229,"d’ attendre . Après la déroute socialiste aux législatives de 1993 , Édouard Balladur trouva donc le dossier de la",réforme,"sur son bureau quand il fut nommé à Matignon . Dans sa grande sagesse , il ne demanda de sacrifices"
230,ne demanda de sacrifices qu’ aux salariés du privé . Bien choisir sa cible est la première condition d’ une,réforme,des retraites menée sans - trop - de douleurs . Pour avoir attaqué bille en tête les régimes spéciaux en
231,» - les efforts - et le « sucré » - les compensations - est la deuxième condition d’ une,réforme,"des retraites digeste . Soit vis-à-vis des catégories disposant de la plus forte capacité de nuisance , SNCF en tête"
232,"publics considérés comme désavantagés dans le monde du travail : carrières longues , pénibles , femmes , chômeurs … Chaque",réforme,"comporte son lot d’ arrangements particuliers . Celle de François Fillon en 2003 , par exemple , intégra les primes"
233,du régime par points - revendication de la CFDT depuis 2010 . L’ introduction de l’ âge pivot dans la,réforme,lui permit de rejoindre les autres centrales dans une opposition franche et massive où il campe encore aujourd’hui . Réforme
234,réforme lui permit de rejoindre les autres centrales dans une opposition franche et massive où il campe encore aujourd’hui .,Réforme,"des retraites Édouard Balladur 1993 Origines Premier ministre de cohabitation , Édouard Balladur arrive à Matignon après la déroute socialiste"
235,1945 . Objectif Le déficit des retraites est sans précédent : 40 milliards de francs . Édouard Balladur limite sa,réforme,"aux salariés du privé et à certaines professions indépendantes - deux ans plus tard , il sera candidat à la"
236,"la même aujourd’hui . Contestation Pour éviter que la France retombe en récession , l’ entrée en vigueur de la",réforme,"est étalée sur une période de 10 à 15 ans . Elle est mise en œuvre en été , dans"
237,"régimes spéciaux , totalement épargnés . Bilan La Caisse nationale d’ assurance - vieillesse ( Cnav ) a évalué la",réforme,"Balladur dans un rapport publié en 2014 . Selon ses calculs , le déficit du régime aurait été de 30"
238,"la durée de cotisation augmentait de 30 mois . Alain Juppé 1995 Origines Premier ministre , Alain Juppé introduit une",réforme,"des régimes spéciaux , retraites de la fonction publique comprises , dans son plan de redressement de la Sécurité sociale"
239,"Objectif L’ objectif , annoncé le 15 novembre , est simple : s’ attaquer à l’ angle mort de la",réforme,Balladur de 1993 en alignant ces régimes sur celui du privé pour réduire les déficits . La France doit assainir
240,"avait laissé Alain Juppé . Au pouvoir cinq ans , Lionel Jospin n’ y a pas touché . Objectif La",réforme,vise à combler les besoins de financement en allongeant la durée du travail . Les Français sont incités à travailler
241,"Les manifestations rassemblent jusqu’ à 2 millions de personnes selon les syndicats , 1,13 million selon la police . La",réforme,"sera néanmoins adoptée avec le soutien de la CFDT , dirigée par François Chérèque , après des négociations avec le"
242,"défile , mais n’ appelle pas à la grève générale . Bilan Selon un rapport de la Cnav , la",réforme,n’ a pas atteint son objectif principal : retarder le départ à la retraite . Cinq ans après sa mise
243,permettant de cesser le travail plus tôt ont été très populaires . Nicolas Sarkozy 2007 Origines C’ est la première,réforme,de son quinquennat et le président de la République la veut symbolique de sa volonté de rupture avec les années
244,"substantielles . Sud-Rail , qui veut continuer la mobilisation , se retrouve isolé . Bilan Pendant dix ans , la",réforme,a coûté plus cher que si les régimes spéciaux avaient été maintenus en l’ état . Les revendications de la
245,"d’ atteindre 40 milliards d’ euros dès 2015 . Éric Woerth , ministre du Travail , est chargé de la",réforme,". Objectif Partout en Europe , on repousse l’ âge de départ à la retraite . L’ Allemagne décide de"
246,"plein va progressivement être porté à 67 ans , soit une durée de cotisation de 41,5 ans . Contestation La",réforme,"provoque une forte mobilisation à la SNCF , dans les raffineries , chez les transporteurs routiers ou encore des éboueurs"
247,"les dividendes perçus par les actionnaires . Marisol Touraine 2014 Origines Annoncée par François Hollande pendant sa campagne , la",réforme,est confiée à la ministre des Affaires sociales et de la Santé Marisol Touraine . Objectif Le pouvoir socialiste ne
248,Un compte personnel de prévention de la pénibilité est créé . Il sera financé par les entreprises . Contestation La,réforme,"est soutenue par la CFDT . Des manifestations éclatent , mais elles seront peu suivies : 370.000 personnes descendent dans"
249,dans le cadre de la loi travail . Emmanuel Macron 2019 Origines Le candidat En marche ! fait de la,réforme,"des retraites un symbole de sa volonté de rupture avec l’«ancien monde » . Elle sera « systémique » ,"
250,"État se substituant à l’ Agirc - Arrco , leur gestionnaire principal , pour collecter les cotisations . Contestation La",réforme,"suscite l’ opposition unanime des partenaires sociaux , de la CGT au Medef . Même la CFDT , qui défend"
251,"marqué par des violences , bat le record de 1995 . Bilan Début mars 2020 , plusieurs éléments de la",réforme,"sont adoptés , certains par 49.3 , c’ est - à - dire sans vote . À la fin du"
252,Après les manifs et les marches de janvier contre la,réforme,"des retraites , faut -il se préparer aux grèves et blocages de février ? La réponse appartient aux syndicats ."
253,"changé depuis près de trente ans , mais pas les syndicats révolutionnaires . Par principe , ils refusent toujours toute",réforme,", tout dialogue , et ne s' expriment qu' à coups de prises d' otages de nos concitoyens , en"
254,", l' exécutif doit , quant à lui , continuer à expliquer avec force et conviction la nécessité de cette",réforme,", et surtout de ne pas reculer . Il y va de l' avenir de notre système des retraites et"
255,À CHAQUE mouvement social contre la,réforme,"des retraites , sa dynamique . L' hiver 2019 - 2020 , les agents de la RATP étaient les fers"
256,"cette année . Certes , les salariés de la RATP participent en nombre aux journées d' action interprofessionnelle contre la",réforme,"( le 19 janvier et le 31 janvier ) . Certes , à cette occasion , les transports en commun"
257,", pour l' instant , n' est pas de même intensité qu' il y a trois ans . « La",réforme,"systémique de 2019 mettait tout notre système par terre , explique Arole Lamasse , délégué général de l' Unsa à"
258,nous serions gravement pénalisés par le recul de l' âge de départ à la retraite et l' accélération de la,réforme,"Touraine . » En clair , les agents RATP estimaient avoir plus à perdre il y a trois ans :"
259,"» En clair , les agents RATP estimaient avoir plus à perdre il y a trois ans : si la",réforme,"avait été appliquée , ils n' auraient plus eu le droit de toucher une pension de retraite représentant 75 %"
260,élément met en sourdine les envies des conducteurs de la RATP d' en découdre avec le gouvernement : si la,réforme,"des retraites doit s' appliquer dès le 1er septembre 2023 pour les employés du secteur privé , elle n' entrera"
261,"1er janvier 2025 . Paix sociale La raison ? Dans ces entreprises publiques , la montée en puissance de la",réforme,des retraites de 2010 menée par Nicolas Sarkozy ne s' achèvera que fin 2024 . « La réforme actuelle a
262,de la réforme des retraites de 2010 menée par Nicolas Sarkozy ne s' achèvera que fin 2024 . « La,réforme,"actuelle a été présentée le 10 janvier . Dès le 12 janvier , Jean Castex ( PDG de la RATP"
263,Perturbés par leurs divisions internes sur la,réforme,", Les Républicains anticipent tous les scénarios . Les députés Les Républicains ont déposé près de 633 amendements au projet"
264,Les Républicains anticipent tous les scénarios . Les députés Les Républicains ont déposé près de 633 amendements au projet de,réforme,des retraites sur les 7000 issus de tous les groupes . Les principaux correctifs de la droite portent sur les
265,"revalorisation à 1 200 euros , impossibilité d’ un hold - up sur les réserves du privé et rythme de",réforme,"plus raisonnable ) . « Il est du devoir d’ un député d’ identifier les améliorations possibles » , insiste"
266,"retraites , mais si on veut les augmenter , il n’ y a pas de miracle , il faut une",réforme,"! » , peste un autre élu , inquiet pour l’ image de la droite . Annie Genevard juge «"
267,assumer la responsabilité d’ un échec éventuel . « Si le gouvernement n’ arrive pas à mettre en œuvre cette,réforme,", il ne faudra pas nous l’ imputer . Nous avons essayé de la rendre moins brutale , plus juste"
268,"l’ affaire du gouvernement » , prévient la députée du Doubs . Nombre de LR continuent de croire que cette",réforme,"est indispensable , mais ils s’ attendent à tous les scénarios . Le chef de file de la droite à"
269,crédible dans celui de sauveur du régime . C’ est d’ ailleurs la principale difficulté à laquelle se heurte cette,réforme,"des retraites aujourd’hui » , accuse Olivier Marleix ."
270,Avec la,réforme,"des retraites , le chef de l’ État se retrouve seul face à tout ce qu’ il se faisait fort"
271,"fort d’ éviter . Il voulait moderniser l’ usine à gaz , le voilà contraint de la rafistoler . Cette",réforme,"des retraites , dont l’ examen débute à l’ Assemblée , n’ est pas celle dont rêvait Emmanuel Macron ."
272,"partis , les « frondeurs » , et peut-être même l’ usage honni de l’ article 49.3 . Avec la",réforme,"des retraites , Emmanuel Macron vit un cauchemar éveillé . Rattrapé par les démons que son élection de 2017 était"
273,"montre au contraire que nous avons bien changé d’ époque , et que nous sommes revenus à un agenda de",réforme,"» , veut -on croire dans l’ entourage du chef de l’ État . Bras de fer Il n’ empêche"
274,ils s’ appuient pour pousser leur avantage dans la rue et obtenir au bout du compte le retrait de la,réforme,. Le bras de fer engagé avec l’ intersyndicale ramène le président à la gestion ordinaire d’ un conflit social
275,et autres « fainéants » qui l’ avaient précédé ; en promettant de ne jamais sacrifier l’ ambition d’ une,réforme,pour satisfaire les « Gaulois réfractaires » ; en tenant tête à ceux qui préfèrent « foutre le bordel »
276,de son exercice du pouvoir depuis sa réélection d’ avril dernier . Et qui ajoute à la contestation de la,réforme,des retraites un parfum de revanche contre la seule personne d’ Emmanuel Macron . De la part de la rue
277,avancer sans eux . Et qui en profitent pour faire monter les enchères . Pas de vote possible pour la,réforme,"si son camp lui-même se divise . Pire , Emmanuel Macron doit aussi tenir compte des états d’ âme de"
278,"par le gouvernement et le chef de l’ État , qui entendent rester inflexibles . L’ hostilité persistante à la",réforme,des retraites mesurée dans les enquêtes d’ opinion se traduira -t -elle mardi par des cortèges plus fournis ? À
279,abandonner le report de l’ âge légal de départ à 64 ans . Le point le plus symbolique de la,réforme,"« n’ est plus négociable » , a -t -elle insisté le week - end dernier , alors que l’"
280,au front » . L’ exécutif ne veut pas laisser prospérer un doute autour de sa détermination à conduire la,réforme,"jusqu’ au bout . 64 ans , le point le plus symbolique de la réforme Dans le sillage d’ Élisabeth"
281,"sa détermination à conduire la réforme jusqu’ au bout . 64 ans , le point le plus symbolique de la",réforme,"Dans le sillage d’ Élisabeth Borne , des proches du chef de l’ État estiment qu’ il faut muscler la"
282,des députés LR se fait parfois vacillante . « Ce n’ est pas la même chose d’ être contre la,réforme,"et contre le mouvement social » , juge un ministre , comme avec l’ espoir que les perturbations lassent les"
283,"sein même de la galaxie macroniste . Ainsi Marisol Touraine , l’ ex-ministre de François Hollande , a étrillé la",réforme,"des retraites , qualifiée lundi sur France Inter de « passeport pour le populisme d’ extrême droite » . «"
284,"million de manifestants , d' après le ministère de l' Intérieur , qui ont défilé jeudi 19 janvier contre la",réforme,"des retraites , ils sont plusieurs à avoir attiré l' attention et suscité l' étonnement . Ce que le géographe"
285,", près de 8,5 % de l' aire urbaine battait le pavé pour la première journée de manifestation contre la",réforme,"des retraites . À Digne-les-Bains , le chef - lieu des Alpes - de - Haute - Provence , où"
286,La France des petites et moyennes villes a commencé à travailler tôt et sera par conséquent plus affectée par la,réforme,", notamment les 44 ans de cotisation . « Comme décrit par les romans de Nicolas Mathieu , au sein"
287,les départements qui ont le plus voté en faveur de Marine Le Pen en 2022 ont moins défilé contre la,réforme,"des retraites . Dans ceux où elle était sous la barre des 20 % le 10 avril , il y"
288,"Avec une forte mobilisation , les opposants à la",réforme,ont encore fait entendre leurs voix et pensent déjà à donner une suite au mouvement . La mobilisation s’ amplifie
289,"mobilisation s’ amplifie , l’ exécutif se raidit . Au terme de la deuxième journée d’ action syndicale contre la",réforme,"des retraites , le rapport de force se tend . Entre le chiffre de 2,8 millions de manifestants revendiqués par"
290,union affichée depuis le début de l’ année . Avec le succès de la deuxième journée de mobilisation contre la,réforme,"des retraites , c’ est désormais l’ Assemblée nationale qui se retrouve sous pression . À commencer par la majorité"
291,"texte , le ministre du Travail Olivier Dussopt a brandi une mise en garde : « Si nous retirions cette",réforme,", le système s’ écroulerait et la pension des retraités s’ écroulerait de 20 % comme c’ est écrit dans"
292,que demandent pourtant des manifestants revigorés par l’ ampleur des cortèges . Ce qu’ exigent aussi les opposants à la,réforme,", syndicaux d’ abord , politiques ensuite . Si ces derniers se sont cette fois tenus à l’ écart du"
293,Et maintenant … par quel bout porter la,réforme,"des retraites ? Le scénario que l’ exécutif redoutait , une mobilisation en hausse , est devenu réalité . Le"
294,"en hausse , est devenu réalité . Le gouvernement est contraint d’ adapter son récit . Après celui d’ une",réforme,qui financera les prochains grands chantiers du pays ( Emmanuel Macron pendant la présidentielle ) ; celui de l’ équilibre
295,"le lendemain , « une partie très importante , majoritaire , de l’ opinion ne se reconnaît pas dans cette",réforme,» . Intensifier la pression « On n’ a pas partagé avec les Français les raisons véritables de la réforme
296,réforme » . Intensifier la pression « On n’ a pas partagé avec les Français les raisons véritables de la,réforme,"» , s’ est désolé le président du MoDem , qui aurait souhaité que la présentation de la réforme repose"
297,"la réforme » , s’ est désolé le président du MoDem , qui aurait souhaité que la présentation de la",réforme,"repose davantage sur un constat partagé et des éléments factuels ( démographie en baisse , déséquilibre budgétaire … ) ."
298,pays qui s’ est imposé . Plutôt que de faire le service après-vente du volet le plus social de la,réforme,", les voix les plus à gauche de la macronie ont exposé leurs griefs ( de Marisol Touraine à François"
299,le potentiel blocage du pays « car c’ est le seul moyen pour que le gouvernement retire ou modifie sa,réforme,"» . C’ est trois points de plus en une semaine , bien que se profilent les vacances scolaires ."
300,"pour les jeunes actifs , argumentent -ils . Collective , Tribune On trouve de tout au menu du projet de",réforme,"des retraites : débats sur la nécessité de réformer , sur les modalités de départ , sur la prise en"
301,"notre système par répartition étant la solidarité entre les générations , on pourrait donc s' attendre à ce que cette",réforme,soit justement abordée dans une perspective intergénérationnelle . Et on voit mal pour quelle raison morale il serait anormal de
302,des retraites se succèdent et ratent l' essentiel en refusant d' aborder la question de la justice générationnelle . Cette,réforme,n' y fait pas exception . La proposition chaque fois renouvelée de faire travailler et cotiser davantage les actifs ne
303,"à un partage équitable des efforts entre toutes les générations , actifs et retraités . Voilà la promesse d' une",réforme,juste .
304,En difficulté pour faire adopter sa,réforme,"des retraites , le président étudie les outils institutionnels à sa disposition . Élisabeth Borne n’ a pas encore atteint"
305,n’ ayant pas encore vraiment terminé son premier mandat et pas tout à fait commencé le deuxième . Avec la,réforme,des retraites en juge de paix autour d’ une alternative simple : ça passe ou ça casse . « Le
306,est dans le temps long et garant de l’ agenda des réformes . Son gouvernement est missionné pour porter la,réforme,"des retraites , mais lui doit réaliser l’ ensemble des engagements qu’ il a pris devant les Français . En"
307,ces derniers jours . D’ abord pour faire rentrer Les Républicains dans le rang et les pousser à voter la,réforme,"des retraites malgré leurs états d’ âme . « Ils ont les clés pour faire tomber le gouvernement , reconnaît"
308,"vingtaine d’ interpellations - , Emmanuel Macron a lui , préféré déjeuner avec Nicolas Sarkozy pour évoquer son projet de",réforme,des institutions . Manière pour le chef de l’ État de mettre en scène sa distance vis-à-vis de la contestation
