Index,Texte précédent,Mot,Texte suivant
154,"bourses . Enfin , vendredi , sera organisé un rassemblement autour de la question du dérèglement climatique . « Le",gouvernement,"aura l' avenir des jeunes dans ses mains cette semaine » , conclut la présidente de l' Unef , Imane"
155,", lorsque 1 à 2 millions de personnes avaient battu le pavé . « Depuis de nombreux mois , le",gouvernement,"espère sans doute que les Français finiront par se lasser des mobilisations » , pointe Gaël Sliman , directeur d'"
156,", dans ce bras de fer avec l' intersyndicale , les études d' opinion confirment semaine après semaine que le",gouvernement,a déjà perdu la bataille de l' image . « Les manifestations deviennent de plus en plus celles d' un
157,", où l' on met tout le monde autour de la table » . Et ce , alors que le",gouvernement,"prépare pour le printemps une loi « plein - emploi » . De fait , si le chômage était la"
158,"de la sérénité . Une carte d’ autant plus nécessaire que , jusqu’ au sein de la majorité et du",gouvernement,", elle semble bien seule à en faire preuve . La sérénité , c’ est aussi ne pas anticiper un"
159,"soirée , Olivier Dussopt , qui venait de passer dix jours non-stop dans l' Hémicycle pour défendre le texte du",gouvernement,", est apparu tout sourire à la reprise de séance . Presque détendu . Il est 21 h 30 ,"
160,"la majorité , et sur lequel la gauche comptait faire de l' obstruction pour gagner du temps . Mais le",gouvernement,"n' ayant pas retenu cette modification , le sujet n' a donc pas été débattu . « Je pressentais un"
161,puis à l' Assemblée pour un vote définitif . Avec une issue encore très incertaine . À moins que le,gouvernement,n' engage sa responsabilité en ayant recours à l' article 49.3 ...
162,y va de son pronostic mais seule la vérité du scrutin fera foi . Le risque est grand pour le,gouvernement,", qui n' est pas certain de pouvoir compter sur toutes ses troupes ni sur tous ses alliés de circonstance"
163,meilleur des cas disposer que de 50 voix favorables . Les Républicains ( 35/61 ) L' allié de circonstance du,gouvernement,"pour cette réforme reste très divisé sur la question des retraites . Sur 61 députés , « 21 à 24"
164,"député LR , ajoutant que les autres se situent parmi les hésitants . Depuis quelques jours , plusieurs ministres du",gouvernement,tentent de convaincre les indécis . « Peut - être que certains contre vont basculer dans l' abstention et certains
165,"281 voix favorables et devra subir 278 votes contre . Une très courte majorité donc , qui ferait courir au",gouvernement,le risque d' un rejet du texte dans le cas où certains élus hésitants viendraient à voter contre et ou
166,"trouvé , le texte sera soumis au vote dès jeudi matin dans les deux Chambres . À moins que le",gouvernement,"ne s’ y oppose fermement . «Cela s’ est déjà produit durant la crise Covid , lorsqu’ une CMP avait"
167,"une CMP avait supprimé le passe sanitaire pour les centres commerciaux » , se remémore un ministre . « Le",gouvernement,"avait alors “ dénoncé ” et réécrit le texte , avec l’ accord des parlementaires concernés . » Selon lui"
168,"à 60 ans depuis 1982 . Mais la grande crise financière de 2008 est passée par là , obligeant le",gouvernement,"à trouver de nouvelles sources de financement . Éric Woerth , ministre du Travail et de la Fonction publique ,"
169,"entre le printemps et l' automne , les cortèges dépassant le chiffre de 3 millions de manifestants . Mais le",gouvernement,"de François Fillon n' a pas cédé et la réforme , votée le 27 octobre , fut promulguée le 10"
170,sur les revenus du capital . Reste donc la solution de l' allongement de la durée de cotisation . Le,gouvernement,"s' avance prudemment . Le 16 mai , les premières pistes sont transmises aux partenaires sociaux . L' augmentation de"
171,"à 13,8 % dans la fonction publique . Patron de la CGT , Bernard Thibault prévient : « Si le",gouvernement,"ignore ou minore la signification de cette première journée de mobilisation , il prend le risque d' un conflit de"
172,"lors du remaniement du 14 novembre 2010 , au lendemain de la promulgation du texte , Éric Woerth quitte le",gouvernement,. Il est remplacé au Travail par Xavier Bertrand . Le cap des 3 millions franchi en octobre Mais avant
173,"force . Le 49.3 , une ligne rouge pour 3/4 des Français Pour adopter son projet de réforme , le",gouvernement,pourrait avoir recours à l’ article 49.3 de la constitution . Cet article permet de faire passer le texte sans
174,constitution . Cet article permet de faire passer le texte sans vote à l’ Assemblée en engageant la responsabilité du,gouvernement,". Vous - même , pensez -vous que cet éventuel recours à l’ article 49.3 serait ... ? « Après"
175,"article 49 , alinéa 3 de la Constitution est pourtant celle qui donnerait le « moins de sueurs froides au",gouvernement,"» , dixit un élu macroniste . « C' est impopulaire , certes , mais prend -on le risque d'"
176,changer d' avis entre aujourd'hui et demain . » Mais dans quel sens ? Et avec quelle issue pour le,gouvernement,en cas de vote ? L' option du 49.3 ne semble pour l' heure pas privilégiée par le gouvernement .
177,le gouvernement en cas de vote ? L' option du 49.3 ne semble pour l' heure pas privilégiée par le,gouvernement,". La première ministre , tout l' exécutif comme les trois présidents de groupe de la majorité relative communiquent depuis"
178,"jours en vertu de l' article 47 - 1 de la Constitution relatif à tous les textes budgétaires , le",gouvernement,n' aurait que jusqu' au 26 mars à minuit pour faire adopter son projet de loi . Une gageure pour
179,"catastrophe » , anticipe un député MoDem . « Il n' y aurait pas beaucoup d' autres solutions pour le",gouvernement,"que de dégainer plusieurs 49.3 pour faire adopter les différentes parties du texte » , informe Anne - Charlène Bezzina"
180,Les erreurs tactiques du,gouvernement,", les divisions au sein des Républicains et le chaos ininterrompu à l’ Assemblée des députés de la Nupes témoignent"
181,"fond de cette réforme , quel fiasco politique ! Avec cette victoire à la Pyrrhus , Emmanuel Macron et son",gouvernement,paient de lourdes fautes d’ analyse . L’ exécutif savait d’ avance qu’ il n’ y a pas de réforme
182,"a péché par naïveté , par présomption et par maladresse . Une image peu glorieuse Mais aux erreurs tactiques du",gouvernement,répond la faute politique des Républicains . Faut -il rappeler que tout ce que LR compte de présidentiables avait défendu
183,est - à - dire faire fi de toute unité et toute autorité interne . Comment rester un parti de,gouvernement,quand on renonce à son ADN gestionnaire et qu’ on n’ a pas les moyens de faire respecter des décisions
184,"par les dix recours successifs au 49.3 lors de l’ examen du budget 2023 cet automne , la chef du",gouvernement,"espérait enfin imprimer sa marque , celle du dialogue et du compromis . Qui plus est autour d’ un texte"
185,texte dès le départ . « Ce n' est pas une vraie surprise . Cette option était prévue puisque le,gouvernement,avait fait le choix d' inscrire ce texte dans le cadre du projet de loi de financement rectificative de la
186,de la Sécurité sociale ( PLFSS ) » .Pointant à son tour un problème de méthode et une incapacité du,gouvernement,"à trouver une majorité , le député d' Eure-et-Loir a ajouté : « On déplore que ça se termine comme"
187,en tête de leurs sites . Les Français ne sont pas les seuls à critiquer le passage en force du,gouvernement,. Les journaux étrangers n' ont pas hésité à s' attaquer à l' image d' Emmanuel Macron . Pour El
188,"anticipé : « Dans quelques jours , je n' en doute pas , à l' engagement de la responsabilité du",gouvernement,", répondront une ou plusieurs motions de censure . » Immédiatement , les adversaires du camp présidentiel ont fait savoir"
189,"micros tendus , Marine Le Pen a affirmé que son groupe y aurait recours : « Il faut censurer le",gouvernement,"et nous espérons que ceux qui s' apprêtaient à voter contre cette réforme des retraites , voteront cette motion de"
190,"restreint : « Nous avons eu des messages du Conseil constitutionnel disant qu' il fallait aller vite , car le",gouvernement,"veut promulguer très vite le texte . On nous tord un peu le bras » , a expliqué mercredi le"
191,"recours au 49.3 , seront encore redoutés ce lundi , après le vote sur les motions de censure contre le",gouvernement,". Si ces dernières n' aboutissent pas , les opposants à la réforme des retraites seront de nouveau dans la"
192,mars l' ont confirmé : de nombreuses préfectures et sous-préfectures de départements ruraux sont extrêmement mobilisées contre le texte du,gouvernement,". Ainsi de Foix ( Ariège ) , où plus de 20 % des habitants de l' agglomération , soit"
193,de personnes . Autre impact visible dans l' Hémicycle : les députés LR qui ont voté pour faire tomber le,gouvernement,sont issus de zones où la contestation est massive . Jean-Pierre Vigier et Isabelle Valentin sont élus de Haute-Loire où
194,", ce n' est qu' en y répondant que la France pourrait trouver un début apaisement . Depuis que le",gouvernement,"a véritablement lancé cette réforme , le rejet n' a jamais varié , ni à la baisse ni à la"
195,"sollicitation » , a répondu Anne Hidalgo , estimant que la situation « est entièrement imputable à la volonté du",gouvernement,"de légiférer pour reculer l' âge légal de départ à la retraite » . Le 16 mars , la Préfecture"
196,"Contrairement à ce que prétend l' extrême gauche à grands cris d' orfraie , aucun autoritarisme de la part du",gouvernement,": les libertés et les droits des individus demeurent garantis , et ont même été renforcés ces dernières années ,"
197,". « La devise de la République est « Liberté , Égalité , Fraternité » . Son principe est :",gouvernement,"du peuple , par le peuple et pour le peuple » , peut -on lire dès l' article 2 de"
